city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
北京-大兴区,北京兴博元科技发展有限责任公司,未融资,600万人民币,50-99人,仪器/电气/自动化, 亦庄三鼎,39.798065,116.503197
北京,北京瀛海智能自动化科技有限公司,未融资,13000万人民币,1-49人,仪器/电气/自动化,朝外大街,39.923716,116.44836
上海,上海迦锐自动化检测科技有限公司,未融资,1000万人民币,1-49人,机械/机电/重工,顺丰路508号,31.327525,121.328992
上海,上海霍兰汽车科技有限公司,未融资,8000万人民币,100-499人,汽车/摩托车,闵行区陈行公路2388号浦江科技广场17号楼2楼,31.098035,121.509873
上海-嘉定区,上海钮爱环保科技有限公司,未融资,117.6471万人民币,50-99人,仪器/电气/自动化,兴贤路1368号5幢3层,31.430635,121.180829
深圳-福田区,深圳市蓝点包装有限公司,,50万人民币,1-49人,印刷/包装/造纸,华强北街道太平洋安防市场1A81,22.542882,114.088271
上海-青浦区,上海观道生物科技有限公司,未融资,1000万人民币,100-499人,仪器/电气/自动化,诸光路1588弄（虹桥世界中心）L4,31.184871,121.301785
上海,上海宇佳软件技术有限公司,未融资,50万人民币,100-499人,仪器/电气/自动化,徐汇区9号线漕河泾站,31.170624,121.397823
上海-嘉定区,矢崎(中国)投资有限公司,未融资,88225.2万人民币,500-999人,汽车/摩托车,南翔鎮銀翔路655号藍天創業広場17楼,31.289597,121.321958
上海,上海瑞熤自动化科技有限公司,未融资,100万人民币,1-49人,仪器/电气/自动化,上海市嘉定区天祝路377弄,31.347863,121.263981
广州-天河区,广州通力纸造特种包装研究院有限公司,未融资,500万人民币,50-99人,印刷/包装/造纸,广州市天河区花城大道667号美林基业大厦601,23.118145,113.342831
广州-黄埔区,广州新域机电制造有限公司,未融资,2010.0万人民币,100-499人,机械/机电/重工,云埔工业区云展路8号,23.147713,113.536453
深圳-龙岗区,深圳市帅泰科技有限公司,未融资,1000万人民币,500-999人,仪器/电气/自动化,诚信路8号,22.682946,114.280384
深圳-龙华区,深圳阿珂法先进科技有限公司,,200万人民币,100-499人,机械/机电/重工,民治街道民治社区1970科技园,22.628933,114.034896
上海,上海卫元机械有限公司,未融资,500万人民币,1-49人,机械/机电/重工,民生路600号,31.239011,121.542167
上海-徐汇区,上海宝准电源科技有限公司,未融资,656.97万人民币,100-499人,机械/机电/重工,桂箐路19号,31.167478,121.405669
北京,北京敏锐达致机器人科技有限责任公司,,13400.0万人民币,50-99人,电子/芯片/半导体,北京海淀区永泰庄北路1号东升国际科学园2号楼2层,40.041994,116.371541
上海,上海菱易传动设备有限公司,未融资,50万人民币,1-49人,机械/机电/重工,闵行区春中路28弄6号,31.075711,121.384261
北京,久益环球投资有限公司,,20100.0万人民币,10000人以上,机械设备制造,朝阳区建国门外大街甲6号中环世贸中心D座31层,39.906989,116.457236
上海,上海飒智智能科技有限公司,未融资,500万人民币,1-49人,机器人,闵行区剑川路951号,31.026834,121.421136
上海-松江区,上海库洛姆模具有限公司,未融资,300万人民币,1-49人,原材料加工,叶榭镇民发路388号,30.937541,121.287909
上海-松江区,上海中科教育装备集团有限公司,未融资,8000万人民币,100-499人,机械设备制造,洞泾镇沈砖公路6088号,31.092226,121.261994
北京-昌平区,北京志恒达科技有限公司,未融资,1176.4706万人民币,100-499人,机械/机电/重工,南邵镇何营路企业墅6号楼(总部),40.199958,116.294314
