restaurant_type,district,city,restaurant_name,address,score,avg_price,review_num,taste_rating,environment_rating,service_rating
面包甜点,龙华区,深圳,幸福西饼新零售(壹方天地店),景龙社区人民路4020号壹成中心花园壹方天地B区L1-007,4.25,25,180,4.37,4.53,4.28
面包甜点,龙华区,深圳,壹点壹客·生日蛋糕(龙华店),民治街道白石龙社区中航阳光新苑3栋56P,4.44,132,106,4.44,4.43,4.65
面包甜点,光明区,深圳,御蝶坊·面包(公明店),光明新区公明办事处宏发上域花园1栋楼商铺106,3.95,29,112,3.94,4.05,3.95
面包甜点,光明区,深圳,卡玛王子生日蛋糕(汇食创业店),光明新区公明街道汇食街56-58号转角位（下单后需call店确认收货信息）,4.02,33,214,4.21,4.31,3.95
面包甜点,光明区,深圳,子情贝诺·生日蛋糕(天虹店),公明街道建设中路102号,3.79,23,65,3.85,3.87,3.74
面包甜点,坪山区,深圳,美味思(六和城分店),坪山街道深汕路168号六和城商业广场一期益田假日世界L1-64,3.69,43,41,3.67,3.69,3.7
面包甜点,坪山区,深圳,南洋大师傅(益田假日世界店),东纵路益田假日世界二楼L2-07,3.9,27,77,3.92,3.9,3.91
面包甜点,坪山区,深圳,佳田生日蛋糕(坪山天虹店),中山大道与锦龙大道交汇处坪山天虹商场,3.76,17,147,3.83,3.87,3.75
面包甜点,龙华区,深圳,榴芒一族(COCOCity店),梅龙大道梅龙路2号COCO City F1层L1S-077-013,3.77,19,20,3.8,3.89,3.89
面包甜点,龙华区,深圳,榴芒一族(壹方天地店),龙华区龙华人民路龙华街道景龙社区人民路4022号壹方天地A区L2-028,4.21,28,267,4.3,4.42,4.19
面包甜点,龙华区,深圳,比利时列日松饼店,龙华新区民治街道梅龙大道586号,4.78,35,239,4.77,4.82,4.83
小龙虾,坪山区,深圳,松哥油焖大虾(坪山店),坪山大道力高君御国际9-12号商铺,3.6,,6,3.66,3.52,3.63
小龙虾,龙岗区,深圳,松哥油焖大虾(华为店),坂田街道坂雪岗大道万科城2区丁香公寓s106、s107号,4.29,121,2116,4.39,4.06,4.27
小龙虾,坪山区,深圳,城里客农家小院·烧烤小龙虾,金碧路华美新村5巷4号1-2层,3.62,86,28,3.67,3.68,3.6
小龙虾,坪山区,深圳,9号虾铺,坪山区坪环十五巷江边路73号,3.03,,,3.49,3.49,3.03
小龙虾,坪山区,深圳,正宗湖北潜江油焖大虾(坪山店),金碧路10号,3.62,35,7,3.62,3.55,3.61
小龙虾,龙岗区,深圳,龙巢盱眙龙虾店(龙岗店),龙城街道中心城爱龙路18号瑞华园世纪城市广场D208号,4.61,107,406,4.64,4.72,4.61
小龙虾,龙岗区,深圳,ZUI爱小龙虾·烧烤(黄金山店),坂田街道冲之大道黄金山综合楼19至20号铺,4.72,98,164,4.67,4.56,4.63
小龙虾,龙岗区,深圳,松哥油焖大虾(龙岗中心城店),龙平西路八意府一层商铺工商银行隔壁,4.36,131,102,4.44,4.55,4.62
小龙虾,坪山区,深圳,堕落小龙虾(坪山店),珠洋坑宝珠路7-1号,3.59,,11,3.7,3.65,3.7
小龙虾,坪山区,深圳,天天红小龙虾(坪山店),坪山街道锦龙大道东城时代花园,3.64,,6,3.69,3.49,3.55
小龙虾,坪山区,深圳,胖哥重庆烤鱼·烧烤小龙虾,坪山街道坪环社区马峦路禾场头楼7号,3,,,3.69,3.49,3.55
小龙虾,龙岗区,深圳,袍哥码头老火锅(横岗分店),横岗信义锦绣花园2号楼商铺,4.17,83,423,4.19,4.4,4.12
小龙虾,龙岗区,深圳,虾畈·小龙虾·炭烧牛蛙(爱联店),龙城街道爱联社区新坡路62号101,4.03,,34,4.09,4.08,3.98
小龙虾,龙岗区,深圳,文记虾铺,龙园路470号，龙西派出所旁边,3.77,,9,3.77,3.9,3.86
小龙虾,坪山区,深圳,胖哥正宗湖北潜江油焖小龙虾,马峦街道江岭社区江岭街58号101,3,,,3.69,3.49,3.55
小龙虾,坪山区,深圳,亿口香小龙虾(竹坑店),金兰路2号,3.54,,2,3.52,3.52,3.52
小龙虾,坪山区,深圳,铁哥小龙虾,坑梓街道坑梓社区育新街32号101,3.62,,2,3.65,3.56,3.65
小龙虾,龙岗区,深圳,冷记香辣小龙虾,兴龙路72号,3.83,,8,3.83,3.65,3.75
小龙虾,龙岗区,深圳,娟姐小龙虾,黄阁中路黄阁路218号,3.81,111,11,3.89,3.68,3.81
小龙虾,龙岗区,深圳,喜哥小龙虾·酸菜鱼,龙河路295号,3.89,117,60,3.94,3.87,3.96
小龙虾,坪山区,深圳,虾汁道小龙虾,坪山街道坪山社区立北八巷9号101,3.62,,,3.65,3.56,3.65
小龙虾,坪山区,深圳,老铁未虾蟹,育新街126-A10号,3.52,,1,3.52,3.48,3.52
小龙虾,坪山区,深圳,海错岛蓝色小龙虾餐厅(力高店),坪山街道坪山大道力高君御花园9号楼105,3.56,,4,3.57,3.56,3.57
小龙虾,龙岗区,深圳,馋上嘴小龙虾(龙岗店),吉祥路360号,4.02,92,58,3.96,3.96,4.07
小龙虾,龙岗区,深圳,松哥油焖大虾(布吉店),中元路海轩广场1-3座01层商业030铺,3.93,,14,3.93,3.8,3.94
小龙虾,龙岗区,深圳,龙巢盱眙龙虾(坂田店),坂雪岗大道4003-2号,4.16,113,128,4.12,4.03,4.28
小龙虾,坪山区,深圳,川红小龙虾,坪山街道六和社区长安街6号101,3.56,,,3.57,3.56,3.57
小龙虾,坪山区,深圳,潜江龙虾馆,马峦街道沙坣社区沙博新村同富裕一路24号,3.56,,,3.57,3.56,3.57
小龙虾,龙岗区,深圳,盱眙阿宝小龙虾(雅豪店),龙河路王子快车旁,3.8,50,13,3.85,3.67,3.78
小龙虾,龙岗区,深圳,好一点龙虾馆,坂田街道岗头社区坂雪岗大道4009号1010马蹄山迷你美食街8B9A号,4.39,137,115,4.44,4.42,4.37
私房菜,龙岗区,深圳,唐味私房菜,黄沙坑村黄沙坑路21号,4.43,112,145,4.59,4.53,4.51
私房菜,龙岗区,深圳,光明黄金鸽,罗岗路信义·荔山公馆9号楼蓝寇酒店,4.72,97,161,4.84,4.52,4.65
